ou ou CC 1 -
por por SP 1 -
intermédio intermédio NCMS000 0.632636 -
de de SP 1 -
procurador procurador NCMS000 0.632636 10484858-n:0.00139724/09624559-n:0.0013848/09775663-n:0.00138016/10479135-n:0.00127274/10486909-n:0.00122868
, , Fc 1 -
oferecendo oferecer VMG0000 1 02327200-v:0.00133233/02200686-v:0.000581877/00706557-v:0.000537321/02296726-v:0.000527421/02297948-v:0.000510149/02296615-v:0.000496497/02297142-v:0.000491786/00887463-v:0.000490144/02297742-v:0.000487359/02298632-v:0.000483834/02263027-v:0.000454733/02297409-v:0.000450721/00251270-v:0.000430839/02425112-v:0.000422555/02376289-v:0.000422195/00880102-v:0.000410206
defesa defesa NCFS000 0.99569 09614684-n:0.000554624/03171356-n:0.000544425/00823750-n:0.000542056/09830194-n:0.00054094/01214171-n:0.000534734/01214863-n:0.000534637/06542047-n:0.000530282/08064523-n:0.000528629/00954311-n:0.000528139/06740644-n:0.000528075/08131530-n:0.000519925/08064130-n:0.000514334/00725673-n:0.000493031
prévia prévio AQ0FS00 1 00121865-a:0.00210495/00122128-a:0.00140499/00127137-a:0.00127862/00126235-a:0.00124729/01729819-a:0.00122273
após após SP 1 -
ser ser VMN0000 0.33093 02604760-v:0.00125262/00339934-v:0.00121138/02620587-v:0.000870491/02627363-v:0.000515515/02603699-v:0.000494641/02655135-v:0.000489396/02702508-v:0.00048521/02445925-v:0.000474712/02731024-v:0.000458096/02664769-v:0.000436103/02597601-v:0.000424969/02614181-v:0.000423212/01717851-v:0.000421214/02749904-v:0.000405989/02616386-v:0.000401197
notificado notificar VMP00SM 0.992518 00874175-v:0.00113332/00965035-v:0.00107329/00873682-v:0.00104859/00832778-v:0.000968406/00833199-v:0.000949114/01438681-v:0.000928448/00965390-v:0.000885845
, , Fc 1 -
razões razão NCFP000 0.65 09179264-n:0.00189223/06740402-n:0.00141298/09178999-n:0.00139345/13819207-n:0.00093786/06739990-n:0.000906289/05651680-n:0.000896265/05819149-n:0.000864383/13404655-n:0.000828696
finais final AQ0CP00 0.25 01010271-a:0.0016019/01010025-a:0.00152668/01579128-a:0.00131801/00349894-a:0.0012863/01212095-a:0.001244
após após SP 1 -
a o DA0FS0 0.675415 -
instrução instrução NCFS000 1 00883297-n:0.000962246/05984287-n:0.000830263/05985999-n:0.00079865/00887081-n:0.000790452/06584891-n:0.000789797/06786629-n:0.000787583/00895501-n:0.000732466/04921417-n:0.000729441/04921900-n:0.000724993
e e CC 0.999951 -
defesa defesa NCFS000 0.99569 09614684-n:0.000554624/03171356-n:0.000544425/00823750-n:0.000542056/09830194-n:0.00054094/01214171-n:0.000534734/01214863-n:0.000534637/06542047-n:0.000530282/08064523-n:0.000528629/00954311-n:0.000528139/06740644-n:0.000528075/08131530-n:0.000519925/08064130-n:0.000514334/00725673-n:0.000493031
oral oral AQ0CS00 0.629858 02823724-a:0.00145636/01665184-a:0.00138197/02771485-a:0.00134184/02284169-a:0.00130333/00110252-a:0.00126055
perante perante SP 1 -
o o DA0MS0 0.950254 -
Tribunal_de_Ética tribunal_de_ética NP00O00 1 -
e e CC 0.999951 -
Disciplina disciplina NP00O00 1 05996646-n:0.00142102/05662876-n:0.00126064/04881623-n:0.00117804/05726596-n:0.00114863/00893836-n:0.00114184/01132864-n:0.00107847
, , Fc 1 -
por por SP 1 -
ocasião ocasião NCFS000 1 09179264-n:0.00189223/14483917-n:0.00143926/07308889-n:0.00106047/13943400-n:0.00105507/14485064-n:0.00102853/07447261-n:0.000951108/05147237-n:0.000928697
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
julgamento julgamento NCMS000 1 01195867-n:0.00125572/01187810-n:0.000782281/06765044-n:0.000747547/05837957-n:0.000743291/01191158-n:0.000742894/05789432-n:0.000710782/00874067-n:0.000694796/04890112-n:0.000691843/05614175-n:0.000688617/04892084-n:0.000687645
. . Fp 1 -

Se se CS 0.138341 -
, , Fc 1 -
após após SP 1 -
a o DA0FS0 0.675415 -
defesa defesa NCFS000 0.99569 03171356-n:0.00103904/09830194-n:0.0010355/00823750-n:0.00102426/01214863-n:0.0010204/01214171-n:0.00101766/06542047-n:0.00101434/09614684-n:0.0010015/00954311-n:0.000992958/08131530-n:0.000987612/08064130-n:0.000983722/06740644-n:0.000970443/00725673-n:0.000947805/08064523-n:0.000937132
prévia prévio AQ0FS00 1 00121865-a:0.004045/00122128-a:0.00270292/00127137-a:0.00245882/00126235-a:0.00239588/01729819-a:0.00235024
, , Fc 1 -
o o DA0MS0 0.950254 -
relator relator NCMS000 0.632636 10507565-n:0.0123347
se se PP3CN00 0.861659 -
manifestar manifestar VMN0000 0.529581 00943837-v:0.00177931/00820976-v:0.00169396/01009240-v:0.00152358/02137132-v:0.00151769/00933821-v:0.00144196/00940384-v:0.00142178/01010118-v:0.00133353/02148788-v:0.00132932/00423075-v:0.00125658/00929703-v:0.00121307
por por SP 1 -
o o DA0MS0 1 -
indeferimento indeferimento NCMS000 1 -
liminar liminar AQ0CS00 0.666758 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
representação representação NCFS000 1 06891493-n:0.00127315/05767733-n:0.00125924/00548802-n:0.00125729/00548326-n:0.00124988/07201804-n:0.00121624/04076846-n:0.00121497/05766984-n:0.00118116/14000403-n:0.00117362/00898518-n:0.00116794/01217499-n:0.00114609/00721660-n:0.00112672
, , Fc 1 -
este este PD0MS00 0.156516 -
deve dever VMIP3S0 0.99061 02731814-v:0.00438371/02254155-v:0.00436369/02253956-v:0.00421435
ser ser VMN0000 0.33093 00339934-v:0.00201294/02604760-v:0.00196098/02627363-v:0.000992796/02620587-v:0.000953469/02655135-v:0.000930698/02603699-v:0.000928535/02702508-v:0.000926606/02445925-v:0.000900389/02731024-v:0.000878005/02664769-v:0.000828693/02614181-v:0.000811469/02597601-v:0.000810362/01717851-v:0.000801761/02749904-v:0.000779207/02616386-v:0.000770396
decidido decidir VMP00SM 0.980769 00697589-v:0.00331111/00763399-v:0.00256596/00698855-v:0.00204121/00634472-v:0.00141411/00699626-v:0.00136104/00679389-v:0.00131438/00701877-v:0.00126045/00701178-a:0.00125473/00699485-v:0.00123698/00703708-v:0.0012266
por por SP 1 -
o o DA0MS0 1 -
Presidente_do_Conselho_Seccional presidente_do_conselho_seccional NP00SP0 1 -
, , Fc 1 -
para para SP 0.999444 -
determinar determinar VMN0000 0.529581 00697589-v:0.00331111/00763399-v:0.00256596/00701040-v:0.00139426/00699815-v:0.00124605/00918872-v:0.00123894/00947077-v:0.00121501/00920336-v:0.0011011/02698319-v:0.00105168/01063188-v:0.00105086/00926472-v:0.00104848/00746718-v:0.00104082/00700708-v:0.00103278
seu seu DP3MSS 0.957305 -
arquivamento arquivamento NCMS000 1 -
. . Fp 1 -

O o DA0MS0 0.950254 -
prazo prazo NCMS000 1 15180082-n:0.0059878/15153225-n:0.00559612/15224156-n:0.00549283
para para SP 0.999444 -
defesa defesa NCFS000 0.99569 03171356-n:0.0013499/09830194-n:0.00134469/00823750-n:0.00133171/01214863-n:0.00132614/01214171-n:0.00132278/06542047-n:0.00131779/09614684-n:0.0013/00954311-n:0.00128946/08131530-n:0.00128383/06740644-n:0.00128264/08064130-n:0.00127808/00725673-n:0.00123189/08064523-n:0.0012089
prévia prévio AQ0FS00 1 00121865-a:0.00525707/00122128-a:0.00351378/00127137-a:0.00319588/00126235-a:0.00311515/01729819-a:0.00305538
pode poder VMIP3S0 0.994702 01774426-v:0.00603231/02744451-v:0.00558611/01192628-v:0.00522845
ser ser VMN0000 0.33093 00339934-v:0.00248042/02604760-v:0.00186158/02627363-v:0.00129047/02620587-v:0.00124893/02603699-v:0.00123134/02655135-v:0.00120988/02702508-v:0.00118745/02445925-v:0.00117096/02731024-v:0.00114082/02664769-v:0.00107568/02614181-v:0.00105794/02597601-v:0.00105267/01717851-v:0.00103349/02749904-v:0.00101227/02616386-v:0.00100138
prorrogado prorrogar VMP00SM 0.992518 -
por por SP 1 -
motivo motivo NCMS000 0.97619 09178999-n:0.00223948/06740402-n:0.00199091/06739990-n:0.00163527/09179264-n:0.00162081/00023773-n:0.00160218/05819149-n:0.0015654/07029682-n:0.00155496/05920272-n:0.00155031/07028797-n:0.00141953/03789014-n:0.00137584/05983347-n:0.00137208
relevante relevante AQ0CS00 0.616352 01975138-a:0.00415332/00138314-a:0.00369299/02339120-a:0.00367196/01975833-a:0.00341594/01487943-a:0.00321338
, , Fc 1 -
a o DA0FS0 0.675415 -
juízo juízo NCMS000 1 05615500-n:0.00245157/01187810-n:0.00229777/05837957-n:0.00227208/05614175-n:0.00225395/06551784-n:0.00215731/00874067-n:0.00211313/04892084-n:0.00211193/01195867-n:0.00204527
de de SP 1 -
