bla bla NCMS000 1 -
processo processo NCMS000 0.998008 00029677-n:0/01023636-n:0/01023820-n:0/01181902-n:0/01182654-n:0/01184814-n:0/01195867-n:0/01198307-n:0/05470189-n:0/05701363-n:0/05701738-n:0/06503551-n:0
judicial judicial AQ0CS00 1 01400961-a:0/02752987-a:0/02753205-a:0/02753724-a:0
, , Fc 1 -
o o DA0MS0 0.950254 -
advogado advogado NCMS000 0.975904 09774783-n:0/09775663-n:0/09840963-n:0/10249950-n:0/10623175-n:0
contribui contribuir VMIP3S0 0.957576 02237782-v:0/02308741-v:0/02324478-v:0
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
postulação postulação NCFS000 1 -
de de SP 1 -
decisão decisão NCFS000 1 00162632-n:0/01191158-n:0/04863969-n:0/05788149-n:0/05838176-n:0/07293546-n:0
favorável favorável AQ0CS00 1 00064479-a:0/00075135-a:0/00177186-a:0/00177547-a:0/00323426-a:0/00604978-a:0/00995119-a:0/00995775-a:0/00996343-a:0/01077995-a:0/01246801-a:0/02354537-a:0
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
seu seu DP3MSS 0.957305 -
constituinte constituinte NCCS000 0.243133 05868954-n:0/06312966-n:0
, , Fc 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
convencimento convencimento NCMS000 1 05941423-n:0
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
julgador julgador NCMS000 0.63261 10066732-n:0
, , Fc 1 -
e e CC 0.999951 -
seus seu AP0MP3P 0.070442 -
atos ato NCMP000 1 00030358-n:0/00037396-n:0/00550341-n:0/06532095-n:0/06545137-n:0/07009640-n:0/07447261-n:0
constituem constituir VMIP3P0 1 01647229-v:0/02396205-v:0/02620587-v:0/02621395-v:0
múnus múnus NCMN000 1 -
público público AQ0MS00 0.47277 00493297-a:0/01704761-a:0/01861205-a:0/01861910-a:0
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
exercício exercício NCMS000 1 00624738-n:0/00729919-n:0/00894552-n:0/00947128-n:0/15203120-n:0
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
profissão profissão NCFS000 1 00582388-n:0/00583246-n:0/00606370-n:0/00609953-n:0/05074774-n:0/06685040-n:0/06732925-n:0
, , Fc 1 -
o o DA0MS0 0.950254 -
advogado advogado NCMS000 0.975904 09774783-n:0/09775663-n:0/09840963-n:0/10249950-n:0/10623175-n:0
é ser VMIP3S0 1 00339934-v:0/01717851-v:0/02445925-v:0/02597601-v:0/02603699-v:0/02604760-v:0/02614181-v:0/02616386-v:0/02620587-v:0/02627363-v:0/02655135-v:0/02664769-v:0/02702508-v:0/02731024-v:0/02749904-v:0
inviolável inviolável AQ0CS00 1 00094069-a:0/02053818-a:0/02055900-a:0/02510604-a:0
por por SP 1 -
seus seu DP3MPS 0.857735 -
atos ato NCMP000 1 00030358-n:0/00037396-n:0/00550341-n:0/06532095-n:0/06545137-n:0/07009640-n:0/07447261-n:0
e e CC 0.999951 -
manifestações manifestação NCFP000 1 01177703-n:0/06725877-n:0/06798558-n:0/06880249-n:0/07323231-n:0/08358332-n:0
, , Fc 1 -
em em SP 1 -
os o DA0MP0 1 -
limites limite NCMP000 0.9832 00141806-n:0/02990373-n:0/03264542-n:0/05124057-n:0/05124928-n:0/06657646-n:0/08501114-n:0/08512259-n:0/08512736-n:0/08565701-n:0/08592656-n:0/08593130-n:0/13758296-n:0/13776137-n:0/13871452-n:0/13903079-n:0/13903387-n:0/13903576-n:0/13903738-n:0/15268857-n:0
de de SP 1 -
esta este DD0FS0 0.877868 - este PD0FS00 0.122132 -
lei lei NCFS000 1 05726596-n:0/05846054-n:0/05870916-n:0/05872982-n:0/06478582-n:0/06532095-n:0/06532330-n:0/06564387-n:0/08209687-n:0/08441203-n:0/08456347-n:0
. . Fp 1 -

--- --- Fz 1 -
O o NP00000 1 05198036-n:0/06832680-n:0
exercício exercício NCMS000 1 00624738-n:0/00729919-n:0/00894552-n:0/00947128-n:0/15203120-n:0
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
atividade atividade NCFS000 1 00037396-n:0/00407535-n:0/04635104-n:0/14006945-n:0/14531203-n:0
de de SP 1 -
advocacia advocacia NCFS000 1 00589217-n:0/00611143-n:0
em em SP 1 -
o o DA0MS0 1 -
território território NCMS000 1 05221895-n:0/08493064-n:0/08497294-n:0/08552138-n:0/08556491-n:0/08674563-n:0
brasileiro brasileiro AQ0MS00 0.211538 02966829-a:0
e e CC 0.999951 -
a o DA0FS0 0.675415 -
denominação denominação NCFS000 1 00163779-n:0/06338908-n:0
de de SP 1 -
advogado advogado NCMS000 0.975904 09774783-n:0/09775663-n:0/09840963-n:0/10249950-n:0/10623175-n:0
